conflictep_id,conflictepisode,type_of_conflict2,dyadcount,confterm,ependdate,ependprec,outcome,recur,version,conflict_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region
22801,1,2,1,0,,,,0,3,228,1948,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",,Government of Israel,121,,1,Palestine,2,2,1948-04-15,1,1948-04-15,1,"645, 651, 652, 660, 663, 666",2
22801,1,2,1,1,1949-01-07,1.0,2.0,0,3,228,1949,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",,Government of Israel,121,,1,Palestine,1,2,1948-04-15,1,1948-04-15,1,"645, 651, 652, 660, 663, 666",2
23401,1,3,1,0,,,,0,3,234,1949,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1950,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1951,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1952,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1953,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1954,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1955,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1956,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1957,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1958,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1959,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1960,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1961,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1962,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1963,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,1,0,,,,0,3,234,1964,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,2,0,,,,0,3,234,1965,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
23401,1,3,2,0,,,,0,3,234,1966,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1,3,1948-05-15,1,1949-12-31,5,666,2
